"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"IIRM Holdings","Miscellaneous","177.83","22.64","177.83","22.64","0","156.22","19.24","0","33.79"
"IITL Projects","Construction","4.58","22.51","2.56","4.91","11.79","33.14","0.0","0","46.63"
"IKIO Lighting","Electric Equipment","437.95","60.57","94.79","9.52","-17.5","657.7","70.32","17.43","300.35"
"IL&FS Engg.","Construction","258.54","-77.45","84.66","-98.11","0.34","1694.95","2670.77","0","20.0"
"IL&FS Inv.Manag.","Finance & Investments","51.92","12.05","13.18","4.94","-24.73","249.38","0.0","4.83","12.96"
"IL&FS Transport","Engineering - Turnkey Services","99.51","-972.95","806.58","-248.01","7.66","2994.16","15512.54","0","6.68"
"IM+ Capitals","Finance & Investments","525.12","93.7","139.62","12.23","151.3","498.51","57.72","28.37","790.0"
"Imagica. Enter.","Recreation / Amusement Parks","260.02","540.93","56.63","4.84","5.08","1097.69","252.18","6.57","78.07"
"IMEC Services","Miscellaneous","6.41","299.86","3.54","307.35","-11.28","2.88","0.0","0","7.32"
"Impex Ferro Tech","Mining / Minerals / Metals","6.38","-0.26","0.55","-3.53","-89.28","219.67","267.67","0","3.63"
"Inani Marbles","Miscellaneous","56.2","1.57","18.23","1.27","57.29","88.17","23.3","3.0","31.4"
"Inani Securities","Finance & Investments","1.24","1.32","0.5","1.26","138.1","27.7","0.22","6.92","37.49"
"Incap","Electronics - Components","19.36","0.67","3.96","0.02","-31.25","27.43","2.76","4.18","60.62"
"Incon Engineers","Engineering","0.0","-0.47","0.0","-0.09","0","0.74","0.52","-162.07","15.61"
"Incredible Indus","Steel - Medium / Small","818.16","5.97","222.35","3.12","6.44","210.04","43.21","4.61","43.0"
"Ind Bank Housing","Finance - Housing","0.0","-0.69","0.0","-0.06","0","8.94","0.0","0","68.89"
"IND Renewable","Power Generation And Supply","0.0","0.05","0.0","-0.26","0","26.74","0.41","0.34","14.9"
"Ind-Agiv Commer.","Trading","10.8","-5.12","1.71","-0.53","-21.92","29.97","3.86","0","69.45"
"Ind-Swift","Pharmaceuticals - Indian - Formulations","502.25","14.23","135.23","37.54","27.72","654.47","1013.99","0","21.42"
"Ind-Swift Labs.","Pharmaceuticals - Indian - Bulk Drugs & Formln","1280.9","420.96","393.33","238.82","29.28","1165.11","16.62","18.36","134.9"
"Indag Rubber","Miscellaneous","251.18","16.75","61.32","3.38","-4.28","262.84","5.94","7.64","243.8"
"Indbank Merchant","Finance & Investments","24.92","9.0","6.86","2.5","62.56","106.34","0.0","10.18","51.43"
"Indbull.RealEst.","Construction","413.8","-1038.35","21.02","-302.28","-80.56","5847.4","306.57","-13.07","148.1"
"Indegene","Miscellaneous","2589.6","336.7","673.0","94.8","6.45","2545.6","489.6","26.87","557.5"
"Indergiri Fin.","Finance & Investments","0.79","-0.65","0.27","0.07","68.75","8.36","1.61","-13.95","52.96"
"India Cem. Cap.","Finance & Investments","6.84","1.51","1.52","0.14","23.58","67.01","44.32","8.87","21.6"
"India Cements","Cement - South India","5112.24","-226.7","1266.65","-60.73","-14.75","10700.63","2618.24","-4.72","287.6"
"India Finsec","Finance & Investments","63.69","12.17","16.7","3.31","22.61","303.55","183.2","18.85","130.25"
"India Gelatine","Chemicals","205.84","28.39","51.21","5.02","-9.44","184.41","8.01","19.55","393.25"
"India Glycols","Breweries & Distilleries","3293.97","172.99","926.14","42.21","49.54","5616.8","1348.23","8.75","935.95"
"India Grid Trust","Power Generation And Supply","2965.57","296.48","813.54","58.48","31.7","20212.38","14504.96","5.76","136.14"
"India Home Loans","Finance - Housing","12.02","-3.44","2.33","-2.11","-58.47","104.0","56.86","-8.02","31.6"
"India Infr Trust","Construction","2744.02","546.08","1378.37","133.07","0","14918.93","6468.03","17.88","92.0"
"India Lease Dev.","Finance & Investments","0.56","-0.15","0.14","-0.1","-6.67","11.33","0.0","-1.35","10.1"
"India Motor Part","Auto Ancillaries","724.77","72.52","175.08","19.33","5.33","2303.4","0.0","4.23","1089.5"
"India Nipp.Elec.","Auto Ancillaries","724.08","59.3","195.68","20.42","23.87","837.03","2.94","10.02","819.0"
"India Pesticides","Pesticides / Agrochemicals - Indian","680.62","61.2","126.53","1.03","-36.15","996.06","19.79","7.64","235.05"
"India Power Corp","Power Generation And Supply","649.7","17.18","162.26","7.56","1.36","2058.91","212.8","1.7","18.05"
"INDIA SHELTE FIN","Finance - Housing","828.7","246.87","234.49","77.75","38.37","5829.64","3415.1","13.96","742.75"
"India Steel","Steel - Medium / Small","0.82","-11.62","0.0","6.15","-100.0","402.34","93.05","-39.51","4.41"
"Indiabulls Enter","Miscellaneous","55.53","-25.24","13.44","-18.36","-17.14","525.94","251.35","-10.51","12.24"
"Indiabulls Hous.","Finance - Housing","8474.87","1214.39","2204.61","319.43","6.23","73066.4","48493.42","6.55","168.9"
"Indiamart Inter.","Miscellaneous","1196.78","333.95","314.7","99.6","17.08","3448.59","40.67","17.65","2681.1"
"Indian","Chemicals","66.68","8.82","0","0","0","34.32","20.31","88.73","411.0"
"Indian Acrylics","Textiles - Manmade","546.16","-54.05","106.34","-12.34","-53.19","398.25","186.83","-81.35","12.99"
"Indian Bank","Banks - Public Sector","55649.73","8422.52","14633.41","2296.47","19.41","795708.82","711095.95","15.35","545.8"
"Indian Bright St","Steel - Medium / Small","0.0","-1.21","0.0","-0.02","0","42.93","0.0","-6.01","174.4"
"Indian CardCloth","Textile Machinery","55.46","7.97","12.27","1.46","-18.25","292.08","24.97","3.31","275.35"
"Indian Energy Ex","Miscellaneous","449.15","341.44","121.28","95.1","13.31","1749.15","10.36","39.41","187.75"
"Indian Hotels Co","Hotels","6768.75","1330.24","1905.34","438.33","17.22","14733.42","2736.23","14.26","617.3"
"Indian Hume Pipe","Construction","1388.63","77.63","404.28","43.67","-10.99","2080.98","510.54","10.18","407.2"
"Indian Infotech","Finance & Investments","21.05","1.72","4.69","-9.06","-88.32","273.16","0.0","0.69","1.45"
